iter	Passed	Remaining
0	152	152198
1	153	76504
2	154	51257
3	154	38584
4	155	31014
5	156	25955
6	157	22338
7	158	19629
8	159	17513
9	159	15815
10	160	14437
11	161	13283
12	162	12326
13	163	11491
14	164	10769
15	164	10141
16	165	9592
17	166	9091
18	167	8645
19	168	8239
20	168	7870
21	169	7536
22	170	7228
23	170	6947
24	171	6688
25	172	6453
26	172	6232
27	173	6027
28	174	5836
29	175	5658
30	175	5492
31	176	5334
32	176	5186
33	177	5046
34	178	4914
35	178	4789
36	179	4674
37	180	4567
38	181	4463
39	181	4367
40	182	4274
41	183	4186
42	184	4100
43	185	4019
44	185	3943
45	186	3871
46	187	3800
47	188	3736
48	189	3673
49	190	3612
50	190	3552
51	191	3496
52	192	3439
53	193	3386
54	194	3335
55	194	3285
56	195	3236
57	196	3189
58	197	3142
59	197	3097
60	198	3053
61	199	3012
62	199	2971
63	200	2931
64	201	2892
65	201	2855
66	202	2818
67	202	2778
68	203	2743
69	203	2709
70	204	2676
71	205	2644
72	205	2613
73	206	2583
74	207	2553
75	207	2525
76	208	2497
77	209	2471
78	209	2447
79	210	2425
80	211	2401
81	212	2376
82	213	2353
83	213	2332
84	214	2306
85	214	2284
86	215	2259
87	215	2238
88	216	2216
89	217	2196
90	217	2176
91	218	2156
92	219	2136
93	219	2118
94	220	2099
95	221	2081
96	221	2064
97	222	2046
98	222	2029
99	223	2013
100	224	1999
101	225	1982
102	225	1967
103	226	1953
104	227	1939
105	228	1925
106	228	1911
107	229	1897
108	230	1883
109	231	1870
110	231	1856
111	232	1842
112	233	1828
113	233	1815
114	234	1803
115	234	1789
116	235	1777
117	236	1764
118	236	1752
119	237	1740
120	237	1728
121	238	1717
122	239	1704
123	239	1694
124	240	1684
125	241	1674
126	242	1668
127	243	1656
128	243	1646
129	244	1636
130	245	1625
131	245	1615
132	246	1605
133	246	1595
134	247	1586
135	248	1577
136	248	1567
137	249	1557
138	250	1548
139	250	1539
140	251	1530
141	251	1522
142	252	1513
143	253	1505
144	253	1497
145	254	1489
